identifier	file	bytes
ComplutensianPolyglotBibleOldTestamentNewTestament	02.ComplutensianPolyglot.NT.1520._djvu.txt	9841565
dioalbertibengel00beng	dioalbertibengel00beng_djvu.txt	2870030
erasmustextusreceptus1stedition1516	Erasmus' Textus Receptus 1st edition 1516_djvu.txt	6961896
firstgermanicbib00ulfi	firstgermanicbib00ulfi_djvu.txt	1951010
first-rabbinic-bible-venice-1518-full-images	First_Rabbinic_Bible_Venice_1518_Full_djvu.txt	14754476
gothicanglosax00ulfi	gothicanglosax00ulfi_djvu.txt	2118962
GRCNA28_DBS_HS	Greek-(1517)-Complutensian-Polyglot-Bible-(Latin-Hebrew)_djvu.txt	33484022
greeknewtestamen01treg	greeknewtestamen01treg_djvu.txt	1956943
hekainediatheken00clem	hekainediatheken00clem_djvu.txt	7336558
hekainediatheken00grie	hekainediatheken00grie_djvu.txt	1960447
hekainediatheken00grie_0	hekainediatheken00grie_0_djvu.txt	2070866
hekainediatheken00mill	hekainediatheken00mill_djvu.txt	1830161
hkaindiathknovum00woid	hkaindiathknovum00woid_djvu.txt	2125052
jesu-christi-domini-nostri-novum-testamentum-sive-novum-foedus-cujus-graeco-theodori-bezae-1598	Jesu Christi Domini nostri Novum Testamentum, sive, Novum Foedus Cujus graeco contextui respondent interpretationes duae, Una Vetus, Altera, Theodori Bezae (X2990 Interlinear) 1598_djvu.txt	8708097
