OGNTsort	lexicalEntry	morphology	book	KJVversification	OGNTversification
000449	G935	N-GSM	40	40.2.1	40.2.1
000450	G2400	INJ	40	40.2.1	40.2.1
000451	G3097	N-NPM	40	40.2.1	40.2.1
000452	G575	PREP	40	40.2.1	40.2.1
000453	G395	N-GPF	40	40.2.1	40.2.1
000454	G3854	V-2ADI-3P	40	40.2.1	40.2.1
000455	G1519	PREP	40	40.2.1	40.2.1
000456	G2414	N-APN-L	40	40.2.1	40.2.1
000457	G3004	V-PAP-NPM	40	40.2.2	40.2.2
000458	G4226	ADV-I	40	40.2.2	40.2.2
000459	G1510	V-PAI-3S	40	40.2.2	40.2.2
000460	G3588	T-NSM	40	40.2.2	40.2.2
000461	G5088	V-APP-NSM	40	40.2.2	40.2.2
000462	G935	N-NSM	40	40.2.2	40.2.2
000463	G3588	T-GPM	40	40.2.2	40.2.2
000464	G2453	A-GPM-PG	40	40.2.2	40.2.2
000465	G1492	V-2AAI-1P	40	40.2.2	40.2.2
000466	G1063	CONJ	40	40.2.2	40.2.2
000467	G846	P-GSM	40	40.2.2	40.2.2
000468	G3588	T-ASM	40	40.2.2	40.2.2
000469	G792	N-ASM	40	40.2.2	40.2.2
000470	G1722	PREP	40	40.2.2	40.2.2
000471	G3588	T-DSF	40	40.2.2	40.2.2
000472	G395	N-DSF	40	40.2.2	40.2.2
000473	G2532	CONJ	40	40.2.2	40.2.2
000474	G2064	V-2AAI-1P	40	40.2.2	40.2.2
000475	G4352	V-AAN	40	40.2.2	40.2.2
000476	G846	P-DSM	40	40.2.2	40.2.2
000477	G191	V-AAP-NSM	40	40.2.3	40.2.3
000478	G1161	CONJ	40	40.2.3	40.2.3
000479	G3588	T-NSM	40	40.2.3	40.2.3
000480	G935	N-NSM	40	40.2.3	40.2.3
000481	G2264	N-NSM-P	40	40.2.3	40.2.3
000482	G5015	V-API-3S	40	40.2.3	40.2.3
000483	G2532	CONJ	40	40.2.3	40.2.3
000484	G3956	A-NSF	40	40.2.3	40.2.3
000485	G2414	N-NSF-L	40	40.2.3	40.2.3
000486	G3326	PREP	40	40.2.3	40.2.3
000487	G846	P-GSM	40	40.2.3	40.2.3
000488	G2532	CONJ	40	40.2.4	40.2.4
000489	G4863	V-2AAP-NSM	40	40.2.4	40.2.4
000490	G3956	A-APM	40	40.2.4	40.2.4
000491	G3588	T-APM	40	40.2.4	40.2.4
000492	G749	N-APM	40	40.2.4	40.2.4
000493	G2532	CONJ	40	40.2.4	40.2.4
000494	G1122	N-APM	40	40.2.4	40.2.4
000495	G3588	T-GSM	40	40.2.4	40.2.4
000496	G2992	N-GSM	40	40.2.4	40.2.4
000497	G4441	V-INI-3S	40	40.2.4	40.2.4
000498	G3844	PREP	40	40.2.4	40.2.4
000499	G846	P-GPM	40	40.2.4	40.2.4
000500	G4226	ADV-I	40	40.2.4	40.2.4
